"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Washington,"44,864","46,171","47,578",36,2.9,3.0,40
Wayne,"34,259","37,408","39,258",79,9.2,4.9,8
Webster,"40,563","40,165","42,219",64,-1.0,5.1,6
Winnebago,"38,035","36,459","38,695",87,-4.1,6.1,4
Winneshiek,"41,444","42,308","43,077",60,2.1,1.8,62
Woodbury,"36,016","36,444","38,055",90,1.2,4.4,15
Worth,"39,603","38,985","39,443",75,-1.6,1.2,70
Wright,"45,701","47,705","47,917",34,4.4,0.4,78
,,,,,,,
Kansas,"43,725","44,311","44,891",--,1.3,1.3,--
Allen,"36,864","40,424","41,068",58,9.7,1.6,33
Anderson,"38,621","43,077","42,909",43,11.5,-0.4,50
Atchison,"31,763","33,984","34,551",97,7.0,1.7,32
Barber,"47,611","45,826","46,337",28,-3.7,1.1,38
Barton,"48,934","47,962","50,295",19,-2.0,4.9,5
Bourbon,"32,973","33,916","35,067",93,2.9,3.4,12
Brown,"39,502","43,467","42,729",45,10.0,-1.7,55
Butler,"41,780","42,600","43,203",42,2.0,1.4,35
Chase,"66,605","69,270","76,296",1,4.0,10.1,1
Chautauqua,"45,126","46,928","49,696",20,4.0,5.9,3
Cherokee,"36,328","37,035","37,696",79,1.9,1.8,31
Cheyenne,"43,462","43,947","42,255",49,1.1,-3.9,66
Clark,"45,461","49,667","50,774",18,9.3,2.2,26
Clay,"48,763","51,538","50,808",17,5.7,-1.4,53
Cloud,"33,415","36,494","35,643",91,9.2,-2.3,60
Coffey,"47,352","53,964","52,830",12,14.0,-2.1,58
Comanche,"34,871","40,952","32,244",101,17.4,-21.3,100
Cowley,"36,990","38,278","38,656",75,3.5,1.0,41
Crawford,"30,820","30,937","31,582",103,0.4,2.1,28
Decatur,"42,752","43,794","47,362",24,2.4,8.1,2
Dickinson,"41,874","42,302","41,832",52,1.0,-1.1,52
Doniphan,"33,830","37,007","35,699",90,9.4,-3.5,63
Douglas,"35,211","35,859","36,686",83,1.8,2.3,23
Edwards,"51,772","59,911","47,343",25,15.7,-21.0,99
Elk,"36,459","38,228","39,840",68,4.9,4.2,7
Ellis,"45,899","44,717","46,158",31,-2.6,3.2,13
Ellsworth,"38,849","41,004","41,905",51,5.5,2.2,27
Finney,"38,802","38,527","39,259",71,-0.7,1.9,30
Ford,"33,752","33,876","33,291",100,0.4,-1.7,56
Franklin,"33,650","35,056","35,421",92,4.2,1.0,39
Geary,"41,681","42,272","43,353",41,1.4,2.6,21
Gove,"43,042","45,032","40,158",63,4.6,-10.8,87
Graham,"59,368","62,027","57,421",8,4.5,-7.4,75
Grant,"40,927","45,267","45,117",35,10.6,-0.3,49
Gray,"58,510","71,651","69,924",3,22.5,-2.4,61
Greeley,"62,122","70,107","49,218",22,12.9,-29.8,104
Greenwood,"36,290","38,935","40,423",62,7.3,3.8,10
Hamilton,"49,232","64,451","65,111",5,30.9,1.0,40
Harper,"49,249","46,906","43,843",38,-4.8,-6.5,69
Harvey,"42,476","43,665","43,956",37,2.8,0.7,45
Haskell,"60,425","78,980","62,759",6,30.7,-20.5,98
Hodgeman,"42,543","45,741","42,446",47,7.5,-7.2,73
Jackson,"37,993","39,713","39,712",69,4.5,0.0,48
Jefferson,"36,202","38,055","38,495",76,5.1,1.2,37
Jewell,"44,550","50,910","46,245",29,14.3,-9.2,79
Johnson,"61,099","60,237","62,005",7,-1.4,2.9,15
Kearny,"48,855","56,879","51,635",13,16.4,-9.2,80
Kingman,"43,143","43,841","41,979",50,1.6,-4.2,67
Kiowa,"42,217","46,053","38,947",73,9.1,-15.4,92
Labette,"38,232","39,012","39,896",67,2.0,2.3,25
Lane,"73,328","84,751","71,963",2,15.6,-15.1,91
Leavenworth,"37,370","37,790","38,832",74,1.1,2.8,17
Lincoln,"37,353","44,437","40,013",65,19.0,-10.0,85
Linn,"30,959","32,140","33,556",99,3.8,4.4,6
Logan,"48,660","52,544","45,406",33,8.0,-13.6,90
Lyon,"29,397","29,466","30,034",104,0.2,1.9,29
McPherson,"44,456","44,402","45,925",32,-0.1,3.4,11
Marion,"35,218","40,019","37,164",82,13.6,-7.1,72
Marshall,"44,116","49,727","46,479",27,12.7,-6.5,70
Meade,"57,065","65,290","51,165",14,14.4,-21.6,101
Miami,"38,208","38,886","39,988",66,1.8,2.8,16
Mitchell,"42,677","46,812","43,610",40,9.7,-6.8,71
Montgomery,"35,898","35,808","37,244",80,-0.3,4.0,9
Morris,"37,717","42,387","40,820",59,12.4,-3.7,65
Morton,"43,247","46,963","39,584",70,8.6,-15.7,93
Nemaha,"48,253","55,831","53,832",11,15.7,-3.6,64
Neosho,"32,258","31,367","31,795",102,-2.8,1.4,36
Ness,"54,735","57,423","56,175",9,4.9,-2.2,59
Norton,"37,122","40,292","40,037",64,8.5,-0.6,51
Osage,"34,136","36,289","36,392",87,6.3,0.3,46
Osborne,"44,146","47,943","43,761",39,8.6,-8.7,78
Ottawa,"34,380","38,629","34,834",95,12.4,-9.8,84
Pawnee,"39,382","43,141","38,988",72,9.5,-9.6,82
Phillips,"48,055","49,234","49,273",21,2.5,0.1,47
Pottawatomie,"47,682","46,871","47,301",26,-1.7,0.9,43
Pratt,"45,572","46,400","42,653",46,1.8,-8.1,77
Rawlins,"55,437","59,809","53,967",10,7.9,-9.8,83
Reno,"34,961","35,552","35,898",89,1.7,1.0,42
Republic,"39,661","46,002","42,439",48,16.0,-7.7,76
Rice,"35,687","39,033","38,240",77,9.4,-2.0,57
Riley,"35,827","35,158","36,070",88,-1.9,2.6,20
Rooks,"35,162","39,202","37,896",78,11.5,-3.3,62
Rush,"41,418","44,687","41,451",54,7.9,-7.2,74
Russell,"39,099","39,508","40,721",60,1.0,3.1,14
Saline,"40,231","40,689","41,294",55,1.1,1.5,34
Scott,"47,570","58,748","51,120",15,23.5,-13.0,89
Sedgwick,"45,332","45,188","46,219",30,-0.3,2.3,24
Seward,"33,153","34,700","34,936",94,4.7,0.7,44
Shawnee,"39,924","40,192","41,263",56,0.7,2.7,19
Sheridan,"59,995","66,953","50,951",16,11.6,-23.9,102
Sherman,"42,136","41,375","37,199",81,-1.8,-10.1,86
Smith,"40,476","45,596","40,646",61,12.6,-10.9,88
Stafford,"38,853","44,214","36,663",84,13.8,-17.1,95
Stanton,"52,579","64,554","48,209",23,22.8,-25.3,103
Stevens,"40,201","51,166","41,680",53,27.3,-18.5,97
Sumner,"35,088","36,044","34,310",98,2.7,-4.8,68
Thomas,"39,009","41,384","34,703",96,6.1,-16.1,94
Trego,"39,677","43,552","42,856",44,9.8,-1.6,54
Wabaunsee,"42,805","43,501","44,665",36,1.6,2.7,18
Wallace,"55,203","67,225","45,224",34,21.8,-32.7,105
Washington,"39,187","45,504","41,167",57,16.1,-9.5,81
Wichita,"63,664","80,963","66,867",4,27.2,-17.4,96
Wilson,"35,670","34,617","36,652",85,-3.0,5.9,4
Woodson,"35,925","35,014","36,427",86,-2.5,4.0,8
Wyandotte,"28,002","28,420","29,119",105,1.5,2.5,22
,,,,,,,
Kentucky,"35,814","35,967","37,396",--,0.4,4.0,--
Adair,"24,885","24,795","26,038",112,-0.4,5.0,41
Allen,"31,695","31,870","33,737",45,0.6,5.9,28
Anderson,"33,621","34,209","35,476",28,1.7,3.7,80
Ballard,"33,493","37,670","37,031",21,12.5,-1.7,113
Barren,"31,363","31,616","33,054",54,0.8,4.5,53
Bath,"26,804","26,854","28,128",96,0.2,4.7,48
Bell,"26,498","26,189","27,927",100,-1.2,6.6,20
Boone,"40,625","40,224","41,674",7,-1.0,3.6,84
Bourbon,"33,616","34,573","35,662",25,2.8,3.1,91
Boyd,"33,834","34,084","35,347",31,0.7,3.7,79
Boyle,"32,020","31,963","33,163",52,-0.2,3.8,78
Bracken,"30,481","31,072","32,616",58,1.9,5.0,43
Breathitt,"27,437","27,410","30,257",79,-0.1,10.4,3
Breckinridge,"30,803","31,211","32,780",56,1.3,5.0,40
Bullitt,"34,399","34,215","35,508",27,-0.5,3.8,77
Butler,"29,199","30,539","31,251",71,4.6,2.3,98
Caldwell,"31,107","33,278","33,707",46,7.0,1.3,105
Calloway,"31,298","32,409","33,100",53,3.5,2.1,100
Campbell,"39,679","39,586","41,262",9,-0.2,4.2,63
Carlisle,"35,801","42,765","39,822",11,19.5,-6.9,120
Carroll,"32,834","33,158","34,539",38,1.0,4.2,65
Carter,"27,382","27,573","28,953",88,0.7,5.0,42
Casey,"25,034","25,529","27,126",109,2.0,6.3,22
Christian,"35,051","35,622","35,355",30,1.6,-0.7,110
Clark,"37,496","38,714","40,425",10,3.2,4.4,55
Clay,"23,385","23,514","25,090",114,0.6,6.7,17
Clinton,"25,531","26,059","28,327",94,2.1,8.7,8
Crittenden,"32,056","34,861","34,488",39,8.8,-1.1,112
Cumberland,"25,714","26,803","29,369",87,4.2,9.6,6
Daviess,"37,326","37,838","39,362",12,1.4,4.0,68
Edmonson,"27,043","27,048","28,323",95,0.0,4.7,50
Elliott,"19,053","19,529","19,879",120,2.5,1.8,104
Estill,"26,384","26,737","28,342",93,1.3,6.0,24
Fayette,"42,508","42,683","44,262",5,0.4,3.7,81
Fleming,"26,492","26,661","28,726",90,0.6,7.7,11
Floyd,"30,939","30,641","32,459",61,-1.0,5.9,25
Franklin,"36,008","36,364","37,875",16,1.0,4.2,66
Fulton,"29,026","33,348","32,678",57,14.9,-2.0,114
Gallatin,"26,169","26,687","29,473",86,2.0,10.4,2
Garrard,"27,366","28,100","29,802",83,2.7,6.1,23
Grant,"29,737","29,963","31,126",73,0.8,3.9,71
Graves,"31,532","34,200","34,584",36,8.5,1.1,106
Grayson,"28,032","28,803","30,122",80,2.8,4.6,51
Green,"28,909","29,916","31,592",68,3.5,5.6,31
Greenup,"34,409","34,051","35,200",32,-1.0,3.4,88
Hancock,"35,104","38,180","38,907",13,8.8,1.9,102
Hardin,"37,471","37,506","38,598",14,0.1,2.9,95
Harlan,"27,624","26,088","27,425",107,-5.6,5.1,37
Harrison,"31,017","31,450","32,529",59,1.4,3.4,86
Hart,"27,236","27,292","28,696",91,0.2,5.1,36
Henderson,"32,234","34,049","34,671",35,5.6,1.8,103
Henry,"32,873","32,965","33,903",43,0.3,2.8,96
Hickman,"34,110","44,635","41,644",8,30.9,-6.7,119
Hopkins,"33,662","34,164","35,657",26,1.5,4.4,57
Jackson,"22,857","22,618","24,129",117,-1.0,6.7,19
Jefferson,"44,657","43,614","45,538",3,-2.3,4.4,56
Jessamine,"35,299","35,732","37,008",22,1.2,3.6,85
Johnson,"30,209","29,802","31,162",72,-1.3,4.6,52
Kenton,"43,198","44,156","46,137",2,2.2,4.5,54
Knott,"26,997","26,005","27,947",99,-3.7,7.5,15
Knox,"26,307","25,946","28,007",98,-1.4,7.9,10
Larue,"30,798","31,869","32,168",63,3.5,0.9,107
Laurel,"29,465","29,256","30,916",75,-0.7,5.7,30
Lawrence,"26,484","26,288","27,611",103,-0.7,5.0,39
Lee,"22,390","22,569","24,691",116,0.8,9.4,7
Leslie,"29,042","28,082","29,735",84,-3.3,5.9,27
Letcher,"29,245","28,177","29,506",85,-3.7,4.7,49
Lewis,"24,687","25,544","26,759",110,3.5,4.8,47
Lincoln,"26,464","26,447","27,520",105,-0.1,4.1,67
Livingston,"31,900","32,268","33,012",55,1.2,2.3,99
Logan,"32,336","33,747","33,466",49,4.4,-0.8,111
Lyon,"27,196","27,401","28,587",92,0.8,4.3,58
McCracken,"39,846","40,890","42,532",6,2.6,4.0,69
McCreary,"20,302","20,608","22,152",119,1.5,7.5,14
McLean,"33,974","38,772","38,516",15,14.1,-0.7,109
Madison,"30,745","31,074","32,406",62,1.1,4.3,60
Magoffin,"23,345","23,520","24,791",115,0.7,5.4,33
Marion,"28,305","29,312","30,883",76,3.6,5.4,34
Marshall,"35,108","36,073","37,460",20,2.7,3.8,73
Martin,"26,511","26,468","27,447",106,-0.2,3.7,82
Mason,"33,155","34,103","35,422",29,2.9,3.9,72
Meade,"32,178","32,328","33,278",50,0.5,2.9,94
Menifee,"25,345","26,185","27,737",101,3.3,5.9,26
Mercer,"30,976","32,250","33,504",48,4.1,3.9,70
Metcalfe,"25,760","25,927","27,683",102,0.6,6.8,16
Monroe,"27,699","28,079","30,798",77,1.4,9.7,5
Montgomery,"30,103","30,330","31,619",67,0.8,4.2,62
Morgan,"23,083","23,017","23,713",118,-0.3,3.0,93
Muhlenberg,"29,218","29,682","30,955",74,1.6,4.3,59
Nelson,"34,029","36,382","37,629",19,6.9,3.4,87
Nicholas,"29,636","29,628","31,908",64,0.0,7.7,12
Ohio,"28,965","30,475","31,646",66,5.2,3.8,74
Oldham,"51,786","48,779","50,558",1,-5.8,3.6,83
Owen,"30,328","31,293","32,486",60,3.2,3.8,76
Owsley,"23,852","24,332","27,274",108,2.0,12.1,1
Pendleton,"29,913","30,202","31,478",69,1.0,4.2,64
Perry,"33,409","32,682","34,578",37,-2.2,5.8,29
Pike,"33,865","32,602","33,850",44,-3.7,3.8,75
Powell,"27,261","27,833","29,930",81,2.1,7.5,13
Pulaski,"31,431","31,525","33,607",47,0.3,6.6,21
Robertson,"25,782","26,508","28,745",89,2.8,8.4,9
Rockcastle,"24,997","26,142","27,596",104,4.6,5.6,32
Rowan,"27,407","27,241","28,114",97,-0.6,3.2,90
Russell,"28,814","28,551","29,910",82,-0.9,4.8,46
Scott,"36,240","36,661","37,808",17,1.2,3.1,92
Shelby,"36,960","36,873","37,745",18,-0.2,2.4,97
Simpson,"31,895","34,003","33,172",51,6.6,-2.4,115
Spencer,"35,283","35,361","36,866",23,0.2,4.3,61
Taylor,"29,611","30,233","31,725",65,2.1,4.9,44
Todd,"33,117","35,911","34,443",40,8.4,-4.1,118
Trigg,"34,544","35,080","34,044",42,1.6,-3.0,116
Trimble,"29,783","30,025","31,476",70,0.8,4.8,45
Union,"33,148","36,356","35,185",33,9.7,-3.2,117
Warren,"32,928","33,280","34,354",41,1.1,3.2,89
Washington,"32,157","32,998","34,698",34,2.6,5.2,35
Wayne,"24,077","24,475","26,113",111,1.7,6.7,18
Webster,"33,272","36,706","36,569",24,10.3,-0.4,108
Whitley,"28,950","28,860","30,324",78,-0.3,5.1,38
Wolfe,"23,473","23,175","25,437",113,-1.3,9.8,4
Woodford,"43,178","43,566","44,447",4,0.9,2.0,101
,,,,,,,
Louisiana,"40,527","40,819","42,030",--,0.7,3.0,--
Acadia,"37,269","39,080","40,023",18,4.9,2.4,32
Allen,"28,843","29,472","30,017",60,2.2,1.8,49
Ascension,"48,393","49,234","50,737",4,1.7,3.1,19
Assumption,"36,609","37,324","39,384",21,2.0,5.5,4
Avoyelles,"33,590","33,708","34,087",47,0.4,1.1,55
Beauregard,"37,357","37,798","38,604",24,1.2,2.1,44
Bienville,"32,310","33,301","34,496",42,3.1,3.6,9
Bossier,"39,531","39,187","40,287",15,-0.9,2.8,23
Caddo,"43,481","42,515","43,909",8,-2.2,3.3,15
Calcasieu,"37,728","37,626","40,016",19,-0.3,6.4,3
Caldwell,"32,853","33,970","34,362",43,3.4,1.2,54
Cameron,"38,095","40,361","43,080",11,5.9,6.7,2
Catahoula,"30,562","32,290","31,132",58,5.7,-3.6,60
Claiborne,"32,480","31,449","32,541",55,-3.2,3.5,10
Concordia,"32,019","31,692","31,670",56,-1.0,-0.1,56
De Soto,"35,864","36,184","37,123",30,0.9,2.6,27
East Baton Rouge,"41,081","41,772","43,106",10,1.7,3.2,16
East Carroll,"37,149","39,059","34,601",41,5.1,-11.4,64
East Feliciana,"35,104","35,853","36,384",35,2.1,1.5,52
Evangeline,"33,092","33,959","34,718",40,2.6,2.2,38
Franklin,"31,687","32,538","31,200",57,2.7,-4.1,61
Grant,"28,037","28,924","29,658",61,3.2,2.5,30
Iberia,"38,830","38,551","39,679",20,-0.7,2.9,22
Iberville,"35,364","35,685","36,443",34,0.9,2.1,45
Jackson,"31,047","31,931","34,188",46,2.8,7.1,1
Jefferson,"44,202","44,427","45,954",7,0.5,3.4,12
Jefferson Davis,"34,398","37,539","39,225",22,9.1,4.5,5
Lafayette,"52,028","50,015","51,608",3,-3.9,3.2,17
Lafourche,"49,954","54,378","56,528",1,8.9,4.0,7
La Salle,"35,921","36,077","36,939",32,0.4,2.4,35
Lincoln,"32,725","33,276","34,077",48,1.7,2.4,33
Livingston,"35,166","35,129","36,230",37,-0.1,3.1,18
Madison,"29,264","30,787","28,210",63,5.2,-8.4,62
Morehouse,"33,605","34,565","33,450",51,2.9,-3.2,59
Natchitoches,"34,126","34,788","35,422",39,1.9,1.8,50
Orleans,"45,204","44,879","46,084",6,-0.7,2.7,25
Ouachita,"35,421","35,976","36,744",33,1.6,2.1,43
Plaquemines,"44,460","44,308","46,297",5,-0.3,4.5,6
Pointe Coupee,"38,230","39,637","40,182",17,3.7,1.4,53
Rapides,"39,638","39,490","40,222",16,-0.4,1.9,48
Red River,"32,318","32,417","33,534",49,0.3,3.4,11
Richland,"33,870","34,265","33,459",50,1.2,-2.4,58
Sabine,"31,865","32,573","33,277",52,2.2,2.2,41
St. Bernard,"28,047","27,949","28,582",62,-0.3,2.3,37
St. Charles,"42,344","42,254","43,689",9,-0.2,3.4,13
St. Helena,"37,034","37,357","38,167",26,0.9,2.2,39
St. James,"39,159","40,211","41,331",14,2.7,2.8,24
St. John the Baptist,"35,866","36,706","37,812",28,2.3,3.0,20
St. Landry,"34,964","35,636","36,285",36,1.9,1.8,51
St. Martin,"35,379","36,229","37,106",31,2.4,2.4,31
St. Mary,"38,591","37,936","38,941",23,-1.7,2.6,26
St. Tammany,"50,523","51,142","52,867",2,1.2,3.4,14
Tangipahoa,"33,111","33,394","34,192",45,0.9,2.4,34
Tensas,"38,742","41,422","37,538",29,6.9,-9.4,63
Terrebonne,"40,727","41,624","42,878",12,2.2,3.0,21
Union,"32,580","33,534","34,215",44,2.9,2.0,47
Vermilion,"36,379","37,345","38,153",27,2.7,2.2,40
Vernon,"37,306","37,505","38,384",25,0.5,2.3,36
Washington,"29,565","30,252","30,882",59,2.3,2.1,46
Webster,"34,825","35,091","35,986",38,0.8,2.6,29
West Baton Rouge,"40,197","40,766","41,807",13,1.4,2.6,28
West Carroll,"27,183","27,985","27,361",64,3.0,-2.2,57
West Feliciana,"30,978","31,961","32,651",54,3.2,2.2,42
Winn,"32,058","31,978","33,159",53,-0.2,3.7,8
,,,,,,,
Maine,"39,589","39,562","40,745",--,-0.1,3.0,--
Androscoggin,"35,517","35,275","36,300",8,-0.7,2.9,10
Aroostook,"34,920","34,954","35,814",10,0.1,2.5,14
Cumberland,"48,881","48,397","49,781",1,-1.0,2.9,11
Franklin,"32,464","32,452","33,256",16,0.0,2.5,13
Hancock,"39,096","38,751","40,289",6,-0.9,4.0,2
Kennebec,"38,246","38,808","39,602",7,1.5,2.0,16
Knox,"40,855","39,417","40,592",5,-3.5,3.0,9
Lincoln,"40,958","40,892","42,155",4,-0.2,3.1,7
Oxford,"32,685","33,021","33,843",14,1.0,2.5,12
Penobscot,"35,030","35,053","35,914",9,0.1,2.5,15
Piscataquis,"32,029","32,207","33,323",15,0.6,3.5,5
Sagadahoc,"41,320","41,566","42,902",3,0.6,3.2,6
Somerset,"33,404","33,773","35,534",11,1.1,5.2,1
Waldo,"33,485","33,680","34,997",12,0.6,3.9,3
Washington,"33,530","33,484","34,646",13,-0.1,3.5,4
York,"41,409","41,653","42,939",2,0.6,3.1,8
,,,,,,,
Maryland,"53,078","52,545","54,176",--,-1.0,3.1,--
Allegany,"33,826","34,469","35,943",23,1.9,4.3,3
Anne Arundel,"58,393","57,890","59,574",4,-0.9,2.9,13
Baltimore,"53,004","52,348","53,949",5,-1.2,3.1,10
Calvert,"52,495","51,982","53,566",7,-1.0,3.0,11
Caroline,"38,151","39,812","41,065",19,4.4,3.1,9
Carroll,"51,572","51,751","53,200",8,0.3,2.8,18
Cecil,"39,660","40,029","41,632",18,0.9,4.0,5
Charles,"49,596","49,222","50,582",11,-0.8,2.8,20
Dorchester,"38,251","39,041","39,974",20,2.1,2.4,23
Frederick,"51,191","51,153","52,554",9,-0.1,2.7,21
Garrett,"40,365","40,772","42,936",16,1.0,5.3,1
Harford,"49,668","49,332","50,817",10,-0.7,3.0,12
Howard,"66,891","65,887","67,605",2,-1.5,2.6,22
Kent,"47,403","49,057","50,419",12,3.5,2.8,19
Montgomery,"73,909","71,474","73,483",1,-3.3,2.8,16
Prince George's,"43,347","43,250","44,465",15,-0.2,2.8,17
Queen Anne's,"52,524","52,533","53,705",6,0.0,2.2,24
St. Mary's,"49,101","48,855","50,234",13,-0.5,2.8,15
Somerset,"27,099","28,349","29,389",24,4.6,3.7,6
Talbot,"60,285","61,360","63,111",3,1.8,2.9,14
Washington,"38,429","38,608","39,887",21,0.5,3.3,7
Wicomico,"35,203","35,719","37,187",22,1.5,4.1,4
Worcester,"48,802","48,032","49,592",14,-1.6,3.2,8
Baltimore City,"40,353","40,609","42,428",17,0.6,4.5,2
,,,,,,,
Massachusetts,"56,752","56,549","58,737",--,-0.4,3.9,--
Barnstable,"56,963","57,511","59,892",6,1.0,4.1,3
Berkshire,"45,261","45,690","47,458",10,0.9,3.9,7
Bristol,"42,924","43,197","44,827",12,0.6,3.8,11
Dukes,"64,234","65,733","68,574",4,2.3,4.3,1
Essex,"54,584","54,141","56,252",8,-0.8,3.9,5
Franklin,"42,865","43,535","45,088",11,1.6,3.6,12
Hampden,"41,900","42,074","43,407",13,0.4,3.2,13
Hampshire,"41,462","41,247","42,490",14,-0.5,3.0,14
Middlesex,"66,918","66,758","69,337",3,-0.2,3.9,8
Nantucket,"84,184","86,660","90,326",1,2.9,4.2,2
Norfolk,"72,801","72,054","74,851",2,-1.0,3.9,6
Plymouth,"54,040","54,217","56,393",7,0.3,4.0,4
Suffolk,"61,612","60,407","62,737",5,-2.0,3.9,9
Worcester,"46,537","46,367","48,151",9,-0.4,3.8,10
,,,,,,,
Michigan,"38,652","39,197","40,740",--,1.4,3.9,--
Alcona,"31,322","32,492","33,838",44,3.7,4.1,35
Alger,"26,064","26,718","27,903",82,2.5,4.4,21
Allegan,"36,493","37,462","38,858",18,2.7,3.7,56
Alpena,"33,837","33,998","35,286",35,0.5,3.8,52
Antrim,"34,487","36,050","37,967",20,4.5,5.3,6
Arenac,"31,930","32,029","33,653",47,0.3,5.1,8
Baraga,"28,006","29,935","31,089",68,6.9,3.9,49
Barry,"35,841","37,028","38,742",19,3.3,4.6,17
Bay,"34,759","34,914","36,419",29,0.4,4.3,26
Benzie,"32,591","33,997","35,451",34,4.3,4.3,29
Berrien,"37,505","38,286","40,113",13,2.1,4.8,14
Branch,"29,216","30,769","31,262",65,5.3,1.6,81
Calhoun,"33,456","34,197","35,084",36,2.2,2.6,73
Cass,"34,440","35,660","37,195",23,3.5,4.3,27
Charlevoix,"41,031","41,460","43,251",8,1.0,4.3,24
Cheboygan,"30,601","31,636","32,688",55,3.4,3.3,61
Chippewa,"30,021","31,161","30,187",74,3.8,-3.1,83
Clare,"28,829","29,529","30,419",73,2.4,3.0,68
Clinton,"37,399","38,265","39,770",15,2.3,3.9,45
Crawford,"27,742","28,053","29,737",77,1.1,6.0,3
Delta,"33,486","33,424","34,790",38,-0.2,4.1,38
Dickinson,"38,865","39,657","41,617",11,2.0,4.9,10
Eaton,"34,208","35,483","36,463",28,3.7,2.8,71
Emmet,"42,189","43,657","45,142",7,3.5,3.4,60
Genesee,"32,737","33,552","34,878",37,2.5,4.0,43
Gladwin,"28,672","29,359","30,640",72,2.4,4.4,22
Gogebic,"30,960","31,651","33,262",50,2.2,5.1,7
Grand Traverse,"39,937","40,921","42,633",9,2.5,4.2,34
Gratiot,"33,888","33,289","34,374",41,-1.8,3.3,62
Hillsdale,"29,472","30,932","31,697",61,5.0,2.5,75
Houghton,"29,649","30,365","31,614",62,2.4,4.1,36
Huron,"41,194","41,378","42,356",10,0.4,2.4,77
Ingham,"34,735","34,801","35,888",31,0.2,3.1,66
Ionia,"27,776","28,791","30,000",76,3.7,4.2,32
Iosco,"30,279","31,087","31,971",57,2.7,2.8,69
Iron,"33,545","34,103","35,497",33,1.7,4.1,37
Isabella,"29,039","29,650","30,810",70,2.1,3.9,47
Jackson,"32,389","33,479","34,490",39,3.4,3.0,67
Kalamazoo,"38,723","39,898","41,182",12,3.0,3.2,63
Kalkaska,"28,534","29,279","30,679",71,2.6,4.8,12
Kent,"44,817","44,787","46,610",5,-0.1,4.1,39
Keweenaw,"34,717","35,416","37,073",24,2.0,4.7,16
Lake,"27,470","28,172","29,231",78,2.6,3.8,53
Lapeer,"34,181","34,964","36,342",30,2.3,3.9,44
Leelanau,"45,475","47,212","48,971",2,3.8,3.7,57
Lenawee,"32,447","32,777","33,604",48,1.0,2.5,74
Livingston,"44,255","45,041","46,829",4,1.8,4.0,41
Luce,"26,010","26,315","27,582",83,1.2,4.8,11
Mackinac,"34,977","36,019","36,483",27,3.0,1.3,82
Macomb,"38,028","38,408","39,886",14,1.0,3.8,50
Manistee,"31,884","32,199","33,549",49,1.0,4.2,33
Marquette,"34,648","34,722","35,626",32,0.2,2.6,72
Mason,"33,866","35,141","36,707",26,3.8,4.5,20
Mecosta,"27,269","28,040","29,087",79,2.8,3.7,55
Menominee,"35,365","35,642","37,321",22,0.8,4.7,15
Midland,"44,316","44,282","46,151",6,-0.1,4.2,30
Missaukee,"28,504","29,477","31,248",66,3.4,6.0,2
Monroe,"36,822","37,774","39,284",17,2.6,4.0,40
Montcalm,"27,538","28,017","29,020",80,1.7,3.6,59
Montmorency,"28,951","30,873","31,741",59,6.6,2.8,70
Muskegon,"31,214","31,442","32,856",53,0.7,4.5,19
Newaygo,"29,521","30,297","31,698",60,2.6,4.6,18
Oakland,"57,483","57,512","59,759",1,0.1,3.9,48
Oceana,"29,327","30,620","31,821",58,4.4,3.9,46
Ogemaw,"27,551","28,584","30,022",75,3.7,5.0,9
Ontonagon,"30,091","31,182","33,037",51,3.6,5.9,4
Osceola,"26,954","27,282","28,847",81,1.2,5.7,5
Oscoda,"26,935","28,865","30,996",69,7.2,7.4,1
Otsego,"32,097","32,427","33,789",45,1.0,4.2,31
Ottawa,"37,127","37,699","39,330",16,1.5,4.3,23
Presque Isle,"30,744","31,707","32,893",52,3.1,3.7,54
Roscommon,"29,701","30,570","31,292",64,2.9,2.4,78
Saginaw,"31,893","32,641","34,050",43,2.3,4.3,25
St. Clair,"35,521","36,070","37,497",21,1.5,4.0,42
St. Joseph,"30,516","31,468","32,203",56,3.1,2.3,79
Sanilac,"32,541","33,139","33,734",46,1.8,1.8,80
Schoolcraft,"32,176","32,873","34,444",40,2.2,4.8,13
Shiawassee,"30,974","31,767","32,787",54,2.6,3.2,64
Tuscola,"29,562","30,329","31,487",63,2.6,3.8,51
Van Buren,"32,523","33,290","34,078",42,2.4,2.4,76
Washtenaw,"46,144","46,658","48,365",3,1.1,3.7,58
Wayne,"34,876","35,332","36,844",25,1.3,4.3,28
Wexford,"29,420","30,153","31,101",67,2.5,3.1,65
,,,,,,,
Minnesota,"47,293","47,410","48,998",--,0.2,3.3,--
Aitkin,"32,583","33,545","36,321",79,3.0,8.3,1
Anoka,"41,331","41,665","43,412",41,0.8,4.2,18
Becker,"39,989","40,944","41,771",51,2.4,2.0,49
Beltrami,"32,610","33,367","35,037",83,2.3,5.0,7
Benton,"38,846","39,332","41,053",55,1.3,4.4,13
Big Stone,"49,678","49,216","48,171",17,-0.9,-2.1,66
Blue Earth,"39,246","39,687","40,756",58,1.1,2.7,45
Brown,"44,937","44,829","45,804",27,-0.2,2.2,47
Carlton,"34,087","35,381","36,758",76,3.8,3.9,23
Carver,"57,810","57,901","59,984",2,0.2,3.6,35
