"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Ouachita,"31,180","31,570","33,007",29,1.3,4.6,34
Perry,"30,576","30,813","31,679",43,0.8,2.8,52
Phillips,"28,907","31,608","32,874",30,9.3,4.0,39
Pike,"26,721","27,589","29,770",54,3.2,7.9,7
Poinsett,"28,809","31,021","30,383",50,7.7,-2.1,72
Polk,"26,102","27,034","29,061",59,3.6,7.5,10
Pope,"30,386","30,737","31,962",40,1.2,4.0,41
Prairie,"30,311","34,162","33,892",21,12.7,-0.8,69
Pulaski,"46,593","45,080","46,349",3,-3.2,2.8,51
Randolph,"27,163","28,413","29,328",58,4.6,3.2,47
St. Francis,"24,195","25,595","25,369",74,5.8,-0.9,70
Saline,"34,956","35,196","36,076",9,0.7,2.5,55
Scott,"24,604","26,591","28,670",62,8.1,7.8,8
Searcy,"26,075","26,290","27,775",67,0.8,5.6,24
Sebastian,"35,948","35,987","37,658",6,0.1,4.6,31
Sevier,"23,646","24,464","26,515",71,3.5,8.4,6
Sharp,"26,745","27,069","29,009",61,1.2,7.2,14
Stone,"25,217","25,778","27,678",69,2.2,7.4,11
Union,"45,820","43,969","46,862",2,-4.0,6.6,21
Van Buren,"26,891","27,754","29,698",56,3.2,7.0,17
Washington,"32,974","33,337","34,592",15,1.1,3.8,42
White,"31,061","30,755","31,813",41,-1.0,3.4,44
Woodruff,"34,329","34,008","34,082",19,-0.9,0.2,66
Yell,"26,826","28,966","30,915",47,8.0,6.7,20
,,,,,,,
California,"47,614","48,125","49,985",--,1.1,3.9,--
Alameda,"51,746","53,798","56,261",8,4.0,4.6,19
Alpine,"59,518","58,711","62,410",6,-1.4,6.3,5
Amador,"36,704","38,238","39,504",33,4.2,3.3,38
Butte,"34,630","36,225","37,005",40,4.6,2.2,54
Calaveras,"39,626","41,205","43,099",27,4.0,4.6,17
Colusa,"40,871","46,590","43,840",25,14.0,-5.9,58
Contra Costa,"61,290","60,885","63,752",5,-0.7,4.7,14
Del Norte,"28,037","29,156","30,437",58,4.0,4.4,21
El Dorado,"53,961","55,204","56,965",7,2.3,3.2,41
Fresno,"34,142","34,886","35,785",45,2.2,2.6,51
Glenn,"34,886","39,019","38,278",36,11.8,-1.9,57
Humboldt,"35,273","36,411","37,783",38,3.2,3.8,30
Imperial,"30,575","31,498","32,398",55,3.0,2.9,48
Inyo,"41,922","43,394","44,602",23,3.5,2.8,49
Kern,"34,386","35,197","36,165",43,2.4,2.8,50
Kings,"29,679","30,049","32,371",56,1.2,7.7,2
Lake,"32,843","34,134","35,259",46,3.9,3.3,39
Lassen,"31,018","32,315","33,432",51,4.2,3.5,34
Los Angeles,"47,713","47,580","49,400",17,-0.3,3.8,28
Madera,"30,785","32,669","33,042",52,6.1,1.1,56
Marin,"93,349","94,310","98,626",1,1.0,4.6,20
Mariposa,"38,899","39,759","41,893",29,2.2,5.4,9
Mendocino,"36,791","38,307","39,545",32,4.1,3.2,40
Merced,"30,793","32,774","33,865",49,6.4,3.3,37
Modoc,"37,294","37,876","40,541",31,1.6,7.0,3
Mono,"39,353","41,760","43,398",26,6.1,3.9,27
Monterey,"43,444","44,707","46,109",19,2.9,3.1,42
Napa,"51,944","52,643","54,596",10,1.3,3.7,31
Nevada,"47,661","48,691","50,312",16,2.2,3.3,36
Orange,"53,390","53,128","55,096",9,-0.5,3.7,32
Placer,"52,175","52,832","54,423",11,1.3,3.0,44
Plumas,"40,743","42,702","45,554",21,4.8,6.7,4
Riverside,"31,879","32,503","33,590",50,2.0,3.3,35
Sacramento,"41,913","42,676","43,944",24,1.8,3.0,45
San Benito,"37,598","39,576","41,486",30,5.3,4.8,11
San Bernardino,"31,064","31,683","32,892",53,2.0,3.8,29
San Diego,"48,990","49,907","51,459",13,1.9,3.1,43
San Francisco,"85,061","86,619","90,600",2,1.8,4.6,18
San Joaquin,"33,519","34,709","36,136",44,3.6,4.1,24
San Luis Obispo,"43,379","44,657","45,947",20,2.9,2.9,47
San Mateo,"85,798","85,653","89,659",3,-0.2,4.7,16
Santa Barbara,"49,307","49,085","50,523",14,-0.5,2.9,46
Santa Clara,"71,670","71,431","74,883",4,-0.3,4.8,10
Santa Cruz,"49,195","49,942","52,280",12,1.5,4.7,15
Shasta,"35,758","36,364","37,905",37,1.7,4.2,22
Sierra,"33,752","34,239","37,239",39,1.4,8.8,1
Siskiyou,"34,289","35,539","37,002",41,3.6,4.1,23
Solano,"38,675","40,168","42,073",28,3.9,4.7,12
Sonoma,"45,218","46,968","49,185",18,3.9,4.7,13
Stanislaus,"34,029","34,961","36,356",42,2.7,4.0,26
Sutter,"36,422","38,188","38,871",34,4.8,1.8,55
Tehama,"30,951","31,382","32,666",54,1.4,4.1,25
Trinity,"29,390","30,523","32,261",57,3.9,5.7,6
Tulare,"31,895","33,415","35,240",47,4.8,5.5,8
Tuolumne,"36,570","36,605","38,639",35,0.1,5.6,7
Ventura,"48,345","48,683","50,405",15,0.7,3.5,33
Yolo,"42,477","44,121","45,132",22,3.9,2.3,53
Yuba,"32,931","34,122","34,989",48,3.6,2.5,52
,,,,,,,
Colorado,"46,402","46,746","48,869",--,0.7,4.5,--
Adams,"33,607","33,733","35,385",49,0.4,4.9,27
Alamosa,"32,139","31,871","33,250",55,-0.8,4.3,43
Arapahoe,"55,980","53,856","56,294",10,-3.8,4.5,37
Archuleta,"33,564","34,635","36,679",45,3.2,5.9,14
Baca,"36,977","44,292","39,405",34,19.8,-11.0,64
Bent,"27,048","28,259","30,019",59,4.5,6.2,13
Boulder,"55,163","56,047","58,627",7,1.6,4.6,33
Broomfield,"75,810","73,627","77,030",2,-2.9,4.6,32
Chaffee,"32,985","33,509","35,391",48,1.6,5.6,17
Cheyenne,"50,821","54,719","50,823",14,7.7,-7.1,63
Clear Creek,"55,625","55,372","57,988",8,-0.5,4.7,30
Conejos,"26,323","27,374","29,402",61,4.0,7.4,8
Costilla,"26,624","27,127","28,725",63,1.9,5.9,15
Crowley,"21,034","22,030","23,574",64,4.7,7.0,10
Custer,"35,599","37,815","39,355",35,6.2,4.1,48
Delta,"31,877","32,600","33,937",51,2.3,4.1,47
Denver,"60,080","60,270","62,880",4,0.3,4.3,42
Dolores,"26,598","28,805","41,652",28,8.3,44.6,1
Douglas,"58,354","58,147","60,821",5,-0.4,4.6,34
Eagle,"53,618","55,395","57,927",9,3.3,4.6,36
Elbert,"43,164","45,100","47,361",18,4.5,5.0,24
El Paso,"40,611","40,541","41,945",27,-0.2,3.5,52
Fremont,"27,129","27,788","29,266",62,2.4,5.3,19
Garfield,"42,626","45,174","47,429",17,6.0,5.0,25
Gilpin,"38,374","43,216","44,308",23,12.6,2.5,58
Grand,"36,192","36,891","38,643",38,1.9,4.7,29
Gunnison,"35,868","36,950","38,618",39,3.0,4.5,38
Hinsdale,"38,930","37,076","40,774",31,-4.8,10.0,4
Huerfano,"32,388","32,733","34,598",50,1.1,5.7,16
Jackson,"36,506","37,435","40,638",32,2.5,8.6,6
Jefferson,"46,392","48,917","51,264",13,5.4,4.8,28
Kiowa,"44,437","53,810","52,221",12,21.1,-3.0,61
Kit Carson,"36,528","36,871","36,626",46,0.9,-0.7,59
Lake,"27,880","28,835","30,177",58,3.4,4.7,31
La Plata,"45,572","45,757","47,784",16,0.4,4.4,40
Larimer,"40,680","41,824","43,584",24,2.8,4.2,45
Las Animas,"33,040","34,703","37,365",43,5.0,7.7,7
Lincoln,"31,912","29,790","33,434",54,-6.6,12.2,3
Logan,"37,742","39,714","40,888",30,5.2,3.0,57
Mesa,"36,418","36,403","38,074",41,0.0,4.6,35
Mineral,"46,008","49,391","52,974",11,7.4,7.3,9
Moffat,"39,829","40,218","42,306",26,1.0,5.2,21
Montezuma,"33,583","34,039","35,870",47,1.4,5.4,18
Montrose,"32,577","32,383","33,784",52,-0.6,4.3,44
Morgan,"35,502","36,538","39,956",33,2.9,9.4,5
Otero,"30,673","32,079","33,091",56,4.6,3.2,56
Ouray,"41,008","44,569","46,108",22,8.7,3.5,53
Park,"34,907","35,104","36,899",44,0.6,5.1,22
Phillips,"41,134","41,132","39,290",36,0.0,-4.5,62
Pitkin,"123,034","109,132","112,796",1,-11.3,3.4,54
Prowers,"34,244","36,745","38,129",40,7.3,3.8,51
Pueblo,"31,970","32,031","33,666",53,0.2,5.1,23
Rio Blanco,"39,637","39,414","41,185",29,-0.6,4.5,39
Rio Grande,"36,059","36,212","37,721",42,0.4,4.2,46
Routt,"57,386","61,665","63,613",3,7.5,3.2,55
Saguache,"28,001","27,800","29,745",60,-0.7,7.0,11
San Juan,"33,239","30,735","31,900",57,-7.5,3.8,49
San Miguel,"51,476","57,405","60,426",6,11.5,5.3,20
Sedgwick,"43,812","44,540","47,321",19,1.7,6.2,12
Summit,"46,804","48,579","50,685",15,3.8,4.3,41
Teller,"40,916","41,147","42,705",25,0.6,3.8,50
Washington,"39,401","41,123","46,459",21,4.4,13.0,2
Weld,"36,034","36,838","38,664",37,2.2,5.0,26
Yuma,"46,497","47,806","46,491",20,2.8,-2.8,60
,,,,,,,
Connecticut,"62,738","62,112","64,864",--,-1.0,4.4,--
Fairfield,"97,392","94,393","98,688",1,-3.1,4.6,2
Hartford,"54,295","54,410","56,640",3,0.2,4.1,6
Litchfield,"52,358","52,104","54,593",4,-0.5,4.8,1
Middlesex,"56,641","56,673","58,963",2,0.1,4.0,7
New Haven,"47,858","48,126","50,261",6,0.6,4.4,3
New London,"48,561","48,482","50,271",5,-0.2,3.7,8
Tolland,"47,524","47,623","49,598",7,0.2,4.1,4
Windham,"38,847","38,984","40,590",8,0.4,4.1,5
,,,,,,,
Delaware,"44,747","44,819","46,378",--,0.2,3.5,--
Kent,"36,701","36,882","38,114",3,0.5,3.3,3
New Castle,"49,215","48,983","50,720",1,-0.5,3.5,2
Sussex,"39,381","40,259","41,737",2,2.2,3.7,1
,,,,,,,
District of Columbia,"68,973","68,606","69,838",--,-0.5,1.8,--
,,,,,,,
Florida,"41,249","41,309","42,737",--,0.1,3.5,--
