name,county_name,2014_fraction_above_65,2014_fraction_above_75,2014_fraction_above_85,2014_fraction_above_95,2015_fraction_above_65,2015_fraction_above_75,2015_fraction_above_85,2015_fraction_above_95,2016_fraction_above_65,2016_fraction_above_75,2016_fraction_above_85,2016_fraction_above_95
"Barren, Kentucky",Barren,0.22,0.12,0.06,0.01,0.75,0.46,0.16,0.02,0.3,0.16,0.07,0.01
"Barron, Wisconsin",Barron,0.57,0.29,0.08,0.02,0.51,0.21,0.06,0.01,0.75,0.41,0.11,0.01
"Barrow, Georgia",Barrow,0.99,0.88,0.57,0.04,0.98,0.86,0.49,0.02,0.99,0.97,0.67,0.04
"Barry, Michigan",Barry,0.88,0.52,0.13,0.01,0.85,0.38,0.08,0,0.46,0.23,0.06,0
"Barry, Missouri",Barry,0.62,0.31,0.08,0.01,0.45,0.24,0.07,0.01,0.24,0.11,0.04,0
"Bartholomew, Indiana",Bartholomew,0.81,0.58,0.27,0.05,0.9,0.64,0.27,0.06,0.71,0.43,0.17,0.03
"Barton, Kansas",Barton,0.21,0.12,0.05,0.01,0.08,0.05,0.03,0,0.08,0.05,0.03,0
"Barton, Missouri",Barton,0.11,0.04,0.01,0,0.1,0.04,0.02,0,0.05,0.03,0.01,0
"Bartow, Georgia",Bartow,0.54,0.39,0.23,0.03,0.66,0.45,0.28,0.03,0.68,0.47,0.28,0.04
"Bastrop, Texas",Bastrop,0.33,0.18,0.07,0,0.25,0.15,0.07,0,0.33,0.21,0.1,0.01
"Bates, Missouri",Bates,0.17,0.07,0.02,0,0.07,0.03,0.01,0,0.06,0.03,0.01,0
"Bath, Kentucky",Bath,0.2,0.08,0.02,-0.01,0.63,0.32,0.1,0,0.28,0.12,0.03,0
"Bath, Virginia",Bath,0.01,0.01,0,0,0.04,0.02,0,0,0.02,0.01,0,-0.01
"Baxter, Arkansas",Baxter,0.32,0.21,0.09,0.01,0.3,0.19,0.08,0.01,0.24,0.13,0.05,0
"Bay, Florida",Bay,0.33,0.25,0.17,0.05,0.26,0.2,0.14,0.04,0.33,0.26,0.18,0.06
"Bay, Michigan",Bay,0.84,0.69,0.43,0.07,0.77,0.59,0.33,0.06,0.87,0.69,0.38,0.05
"Bayam\xf3n, Puerto Rico",Bayam\xf3n,0.99,0.98,0.92,0.52,0.99,0.98,0.89,0.47,1,1,0.92,0.53
"Bayfield, Wisconsin",Bayfield,0.05,0.02,0.01,0,0.03,0.02,0,0,0.09,0.04,0.01,0
"Baylor, Texas",Baylor,0.02,0.01,0,0,0.02,0.01,0,0,0.02,0.01,0,0
"Beadle, South Dakota",Beadle,0.08,0.04,0.02,0,0.03,0.02,0.01,0,0.07,0.04,0.01,0
"Bear Lake, Idaho",Bear Lake,0.02,0.01,0,0,0,0,0,0,0.02,0.01,0,0
"Beaufort, North Carolina",Beaufort,0.18,0.11,0.05,0,0.19,0.11,0.05,0,0.21,0.13,0.06,0
"Beaufort, South Carolina",Beaufort,0.4,0.3,0.15,0,0.38,0.29,0.18,0.01,0.39,0.32,0.21,0.02
"Beauregard, Louisiana",Beauregard,0.12,0.07,0.02,0,0.13,0.06,0.02,0,0.17,0.1,0.04,0
"Beaver, Oklahoma",Beaver,0.05,0.02,0,0,0.02,0.01,0,0,0.01,0.01,0,0
"Beaver, Pennsylvania",Beaver,0.98,0.87,0.52,0.07,1,0.94,0.64,0.09,0.94,0.84,0.52,0.1
"Beaver, Utah",Beaver,0.01,0,0,0,0.01,0,0,0,0.02,0.01,0,0
"Beaverhead, Montana",Beaverhead,0,0,0,0,0,0,0,0,0,0,0,0
"Becker, Minnesota",Becker,0.18,0.1,0.04,0,0.16,0.08,0.03,0,0.27,0.14,0.05,0
"Beckham, Oklahoma",Beckham,0.29,0.16,0.06,0.01,0.15,0.09,0.05,0.01,0.11,0.08,0.04,0.01
"Bedford, Pennsylvania",Bedford,0.39,0.24,0.08,0,0.4,0.21,0.06,0,0.35,0.19,0.06,0
"Bedford, Tennessee",Bedford,0.18,0.1,0.05,0.01,0.25,0.13,0.06,0.01,0.28,0.15,0.06,0.01
"Bedford, Virginia",Bedford,0.17,0.1,0.04,0,0.58,0.34,0.12,0,0.24,0.13,0.05,0
"Bee, Texas",Bee,0.24,0.12,0.04,0,0.1,0.05,0.03,0,0.09,0.06,0.03,0
"Belknap, New Hampshire",Belknap,0.38,0.24,0.13,0.01,0.45,0.27,0.13,0.01,0.44,0.28,0.15,0.02
"Bell, Kentucky",Bell,0.23,0.15,0.07,0,0.52,0.35,0.17,0.01,0.37,0.24,0.1,0.01
"Bell, Texas",Bell,0.46,0.32,0.2,0.05,0.36,0.26,0.17,0.05,0.44,0.32,0.21,0.07
"Belmont, Ohio",Belmont,0.74,0.47,0.2,0.02,0.96,0.79,0.43,0.04,0.85,0.69,0.32,0.03
"Beltrami, Minnesota",Beltrami,0.07,0.04,0.02,0,0.06,0.03,0.01,0,0.09,0.05,0.02,0
"Ben Hill, Georgia",Ben Hill,0.13,0.09,0.05,0,0.21,0.13,0.07,0.01,0.19,0.13,0.08,0.02
"Benewah, Idaho",Benewah,0.04,0.02,0.01,0,0.01,0.01,0,0,0.02,0.01,0,0
"Bennett, South Dakota",Bennett,0.01,0,0,0,0,0,0,0,0.01,0,0,0
"Bennington, Vermont",Bennington,0.13,0.08,0.03,0,0.13,0.07,0.03,0,0.13,0.08,0.04,0
"Benson, North Dakota",Benson,0.05,0.03,0.01,0,0.05,0.02,0.01,0,0.08,0.03,0.01,0
"Bent, Colorado",Bent,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"Benton, Arkansas",Benton,0.92,0.75,0.43,0.07,0.73,0.54,0.3,0.05,0.66,0.45,0.24,0.04
"Benton, Indiana",Benton,0.2,0.06,0.03,0,0.06,0.03,0.02,0,0.06,0.03,0.01,0
"Benton, Iowa",Benton,0.7,0.35,0.09,0.01,0.4,0.12,0.03,0,0.47,0.2,0.05,0
"Benton, Minnesota",Benton,0.75,0.41,0.13,0.03,0.56,0.23,0.09,0.02,0.91,0.53,0.15,0.03
"Benton, Mississippi",Benton,0.16,0.07,0.02,0,0.09,0.04,0.01,0,0.16,0.09,0.03,0
"Benton, Missouri",Benton,0.3,0.15,0.05,0,0.12,0.06,0.03,0,0.11,0.06,0.02,0
"Benton, Oregon",Benton,0.11,0.07,0.05,0,0.08,0.06,0.04,0,0.1,0.07,0.04,0
"Benton, Tennessee",Benton,0.2,0.11,0.04,0,0.17,0.09,0.03,0,0.19,0.1,0.04,0
"Benton, Washington",Benton,0.22,0.16,0.1,0.02,0.14,0.1,0.07,0.01,0.17,0.13,0.08,0.02
"Benzie, Michigan",Benzie,0.24,0.13,0.05,0,0.23,0.11,0.05,0,0.28,0.13,0.03,0
"Bergen, New Jersey",Bergen,1,1,0.97,0.74,1,1,0.96,0.71,1,1,0.96,0.62
"Berkeley, South Carolina",Berkeley,0.36,0.27,0.16,0.02,0.37,0.27,0.16,0.03,0.36,0.28,0.18,0.03
"Berkeley, West Virginia",Berkeley,0.67,0.49,0.27,0.04,0.81,0.64,0.36,0.05,0.76,0.64,0.37,0.06
"Berks, Pennsylvania",Berks,0.95,0.85,0.53,0.1,0.96,0.87,0.48,0.1,0.97,0.92,0.58,0.1
"Berkshire, Massachusetts",Berkshire,0.38,0.25,0.14,0.02,0.41,0.25,0.14,0.02,0.37,0.25,0.14,0.02
"Bernalillo, New Mexico",Bernalillo,0.43,0.33,0.24,0.11,0.32,0.26,0.2,0.09,0.33,0.27,0.21,0.11
"Berrien, Georgia",Berrien,0.07,0.03,0.02,0,0.12,0.06,0.02,0,0.17,0.09,0.03,0
"Berrien, Michigan",Berrien,0.99,0.97,0.65,0.11,1,0.99,0.65,0.1,0.98,0.9,0.41,0.05
"Bertie, North Carolina",Bertie,0.17,0.08,0.03,0,0.15,0.08,0.03,0,0.13,0.07,0.03,0
"Bethel, Alaska",Bethel,0,0,0,0,0.11,0,0,0,0.43,0.06,0,0
"Bexar, Texas",Bexar,0.96,0.85,0.63,0.28,0.92,0.81,0.61,0.28,0.94,0.85,0.66,0.34
"Bibb, Alabama",Bibb,0.14,0.08,0.03,0,0.11,0.06,0.02,0,0.17,0.11,0.04,0
"Bibb, Georgia",Bibb,0.92,0.83,0.62,0.15,0.9,0.79,0.59,0.15,0.94,0.84,0.64,0.2
"Bienville, Louisiana",Bienville,0.06,0.03,0.01,0,0.05,0.03,0.01,0,0.1,0.05,0.02,0
"Big Horn, Montana",Big Horn,0.04,0.02,0,0,0.01,0,0,0,0.01,0.01,0,0
"Big Horn, Wyoming",Big Horn,0.02,0.01,0,0,0.01,0,0,0,0.01,0,0,0
"Big Stone, Minnesota",Big Stone,0.07,0.04,0.02,0,0.05,0.03,0.01,0,0.13,0.06,0.02,0
"Billings, North Dakota",Billings,0.06,0.04,0.02,0,0.04,0.02,0.01,0,0.03,0.01,0,0
"Bingham, Idaho",Bingham,0.06,0.04,0.01,0,0.03,0.01,0.01,0,0.15,0.08,0.03,0
"Black Hawk, Iowa",Black Hawk,0.95,0.76,0.4,0.11,0.78,0.52,0.27,0.07,0.94,0.75,0.39,0.1
"Blackford, Indiana",Blackford,0.96,0.66,0.12,0.02,0.89,0.38,0.09,0.02,0.64,0.33,0.09,0.01
"Bladen, North Carolina",Bladen,0.14,0.08,0.03,0,0.17,0.09,0.03,0,0.18,0.1,0.04,0
"Blaine, Idaho",Blaine,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0
"Blaine, Montana",Blaine,0,0,0,0,0,0,0,0,0,0,0,0
"Blaine, Nebraska",Blaine,0,0,0,-0.01,0,0,0,-0.01,0,0,0,-0.01
"Blaine, Oklahoma",Blaine,0.12,0.06,0.02,0,0.06,0.03,0.01,0,0.08,0.05,0.03,0
"Blair, Pennsylvania",Blair,0.67,0.48,0.27,0.06,0.73,0.52,0.29,0.06,0.61,0.43,0.22,0.05
"Blanco, Texas",Blanco,0.03,0.01,0,-0.01,0.02,0.01,0,-0.01,0.02,0.01,0,0
